Order_ID,Order_Date,Year,Month,Quarter,Season,Customer_ID,Customer_Gender,Customer_Segment,Region,Country,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,Shipping_Method,Shipping_Days,Payment_Method,Order_Status
ORD-000029,2021-12-30,2021,12,Q4,Winter,CUST-05187,Female,Regular,Middle East,Jordan,Beauty & Health,Skincare,Sunscreen SPF50,32.95,1,0.2,26.36,22.59,3.77,14.3,5.54,Economy,10,Bank Transfer,Delivered
ORD-000030,2021-09-17,2021,9,Q3,Fall,CUST-04892,Male,VIP,Europe,Germany,Home & Kitchen,Kitchen Tools,Storage Container Set,60.25,1,0.05,57.24,39.27,17.97,31.39,20.73,Express,8,Apple Pay,Processing
ORD-000031,2023-02-01,2023,2,Q1,Winter,CUST-01411,Male,Regular,North America,USA,Books & Media,Books,Rich Dad Poor Dad,24.83,1,0.05,23.59,12.27,11.32,47.99,3.75,Economy,10,Apple Pay,Delivered
ORD-000032,2024-02-04,2024,2,Q1,Winter,CUST-07880,Female,New,Asia,China,Beauty & Health,Supplements,Multivitamin Pack,54.82,2,0.3,76.75,63.37,13.38,17.43,5.6,Economy,17,Apple Pay,Processing
ORD-000033,2022-10-10,2022,10,Q4,Fall,CUST-04137,Male,Regular,Middle East,Egypt,Clothing,Women's Wear,Maxi Skirt,28.23,2,0.1,50.81,29.38,21.43,42.18,7.08,Standard,10,Credit Card,Delivered
ORD-000034,2022-04-04,2022,4,Q2,Spring,CUST-04907,Male,Premium,Asia,South Korea,Beauty & Health,Supplements,Collagen Peptides,45.29,4,0.0,181.16,92.76,88.4,48.8,17.85,Standard,22,Debit Card,Delivered
ORD-000035,2021-11-30,2021,11,Q4,Fall,CUST-02045,Male,Premium,Asia,Japan,Beauty & Health,Skincare,Retinol Night Cream,27.55,9,0.2,198.36,147.7,50.66,25.54,7.79,Economy,24,Google Pay,Cancelled
ORD-000036,2023-12-15,2023,12,Q4,Winter,CUST-03764,Female,Regular,Middle East,Jordan,Electronics,Smartphones,OnePlus 11,422.13,1,0.25,316.6,212.97,103.63,32.73,60.58,Overnight,12,Cash on Delivery,Delivered
ORD-000037,2021-04-01,2021,4,Q2,Spring,CUST-01329,Male,Regular,Middle East,Saudi Arabia,Home & Kitchen,Appliances,Microwave Oven,35.23,4,0.3,98.64,65.62,33.02,33.48,16.72,Standard,17,PayPal,Delivered
ORD-000038,2023-10-25,2023,10,Q4,Fall,CUST-05963,Male,Regular,Europe,Italy,Books & Media,Books,The Psychology of Money,13.79,3,0.5,20.68,20.04,0.64,3.09,88.34,Overnight,7,Debit Card,Delivered
ORD-000039,2023-12-14,2023,12,Q4,Winter,CUST-07965,Male,New,Europe,UK,Books & Media,Books,Deep Work,27.27,1,0.2,21.82,15.52,6.3,28.87,23.06,Express,9,Cash on Delivery,Delivered
ORD-000040,2023-01-02,2023,1,Q1,Winter,CUST-04551,Female,VIP,Middle East,UAE,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,104.31,1,0.0,104.31,62.77,41.54,39.82,8.58,Economy,8,Bank Transfer,Delivered
ORD-000041,2024-03-10,2024,3,Q1,Spring,CUST-03640,Male,Regular,Asia,South Korea,Beauty & Health,Skincare,Hyaluronic Acid,87.24,3,0.1,235.55,166.13,69.42,29.47,8.61,Economy,18,Debit Card,Returned
ORD-000042,2022-12-04,2022,12,Q4,Winter,CUST-07535,Female,Premium,Asia,Japan,Clothing,Women's Wear,Yoga Pants,98.56,1,0.2,78.85,54.3,24.55,31.14,34.63,Express,21,Debit Card,Cancelled
ORD-000043,2022-11-13,2022,11,Q4,Fall,CUST-04671,Male,Regular,Asia,South Korea,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,84.74,1,0.05,80.5,40.31,40.19,49.93,40.72,Express,25,Debit Card,Delivered
ORD-000044,2023-11-11,2023,11,Q4,Fall,CUST-03219,Female,Regular,Middle East,Jordan,Beauty & Health,Skincare,Sunscreen SPF50,63.12,3,0.15,160.96,112.1,48.86,30.36,67.59,Overnight,14,PayPal,Delivered
ORD-000045,2024-04-06,2024,4,Q2,Spring,CUST-03426,Male,Premium,Asia,Japan,Clothing,Women's Wear,Summer Dress,116.06,2,0.0,232.12,117.79,114.33,49.25,99.03,Overnight,16,PayPal,Delivered
ORD-000046,2022-02-27,2022,2,Q1,Winter,CUST-03329,Female,VIP,Europe,Italy,Electronics,Laptops,HP Spectre x360,686.48,3,0.0,2059.44,1268.63,790.81,38.4,18.09,Standard,14,Apple Pay,Delivered
ORD-000047,2023-12-05,2023,12,Q4,Winter,CUST-02242,Male,New,North America,Canada,Clothing,Men's Wear,Formal Shirt,113.81,2,0.25,170.72,110.22,60.5,35.44,2.59,Economy,3,Debit Card,Delivered
ORD-000048,2023-12-14,2023,12,Q4,Winter,CUST-03435,Female,Regular,Europe,Spain,Clothing,Men's Wear,Chino Pants,95.27,2,0.4,114.32,119.82,-5.5,-4.81,5.6,Economy,12,Google Pay,Cancelled
ORD-000049,2023-06-03,2023,6,Q2,Summer,CUST-01021,Female,VIP,Europe,Germany,Electronics,Smartphones,Samsung Galaxy S23,862.96,2,0.1,1553.33,1118.62,434.71,27.99,36.56,Express,7,Bank Transfer,Cancelled
ORD-000050,2021-07-14,2021,7,Q3,Summer,CUST-04482,Male,New,Asia,India,Beauty & Health,Supplements,Whey Protein 2kg,30.05,1,0.1,27.05,19.86,7.19,26.58,47.72,Express,16,PayPal,Processing
ORD-000051,2021-08-05,2021,8,Q3,Summer,CUST-06732,Female,Regular,Middle East,Jordan,Clothing,Women's Wear,High-Waist Jeans,27.43,3,0.0,82.29,56.6,25.69,31.22,12.03,Standard,11,Google Pay,Returned
ORD-000052,2022-11-16,2022,11,Q4,Fall,CUST-07848,Male,Regular,Middle East,UAE,Beauty & Health,Supplements,Whey Protein 2kg,53.87,2,0.2,86.19,72.22,13.97,16.21,8.43,Standard,17,Google Pay,Delivered
ORD-000053,2024-05-01,2024,5,Q2,Spring,CUST-03730,Female,Regular,Asia,South Korea,Clothing,Women's Wear,Yoga Pants,104.0,1,0.1,93.6,52.46,41.14,43.95,12.05,Standard,23,Cash on Delivery,Delivered
ORD-000054,2023-02-22,2023,2,Q1,Winter,CUST-01949,Female,New,North America,Canada,Home & Kitchen,Furniture,TV Stand,229.87,4,0.2,735.58,638.18,97.4,13.24,9.72,Standard,8,Cash on Delivery,Delivered
ORD-000055,2022-08-08,2022,8,Q3,Summer,CUST-03359,Female,VIP,Asia,South Korea,Books & Media,Software,VPN Premium 1Y,32.47,1,0.3,22.73,18.14,4.59,20.19,8.05,Standard,14,Credit Card,Delivered
ORD-000056,2022-10-20,2022,10,Q4,Fall,CUST-06306,Male,VIP,North America,USA,Books & Media,Books,The Psychology of Money,19.32,1,0.0,19.32,11.89,7.43,38.46,11.92,Standard,4,Bank Transfer,Delivered
ORD-000057,2024-06-01,2024,6,Q2,Summer,CUST-07113,Male,Regular,Europe,Italy,Books & Media,Software,VPN Premium 1Y,211.99,4,0.25,635.97,443.58,192.39,30.25,47.66,Express,13,Debit Card,Delivered
ORD-000058,2023-08-31,2023,8,Q3,Summer,CUST-03723,Female,VIP,Asia,China,Home & Kitchen,Kitchen Tools,Cutting Board Set,125.77,5,0.1,565.97,419.96,146.01,25.8,6.31,Economy,21,Debit Card,Delivered
ORD-000059,2024-01-11,2024,1,Q1,Winter,CUST-05057,Male,Regular,Asia,South Korea,Clothing,Footwear,Vans Old Skool,85.03,1,0.2,68.02,39.38,28.64,42.11,9.91,Economy,14,Google Pay,Cancelled
ORD-000060,2024-04-12,2024,4,Q2,Spring,CUST-03773,Female,Regular,Europe,Italy,Home & Kitchen,Appliances,Microwave Oven,56.92,2,0.25,85.38,51.75,33.63,39.39,22.24,Express,9,Cash on Delivery,Delivered
ORD-000061,2024-01-15,2024,1,Q1,Winter,CUST-02863,Male,Premium,North America,Mexico,Books & Media,Software,Antivirus Pro,164.16,6,0.25,738.72,701.01,37.71,5.1,8.52,Standard,7,Credit Card,Processing
ORD-000062,2022-11-20,2022,11,Q4,Fall,CUST-03000,Female,New,North America,Canada,Electronics,Tablets,Samsung Galaxy Tab S9,809.3,1,0.0,809.3,375.35,433.95,53.62,68.74,Overnight,5,Bank Transfer,Delivered
ORD-000063,2022-08-07,2022,8,Q3,Summer,CUST-04764,Female,Regular,Europe,Italy,Clothing,Men's Wear,Classic T-Shirt,79.0,2,0.2,126.4,100.47,25.93,20.51,26.97,Express,9,Cash on Delivery,Returned
ORD-000064,2024-01-24,2024,1,Q1,Winter,CUST-02631,Female,VIP,Middle East,Jordan,Home & Kitchen,Kitchen Tools,Storage Container Set,36.33,5,0.25,136.24,133.25,2.99,2.19,72.84,Overnight,11,Credit Card,Delivered
ORD-000065,2021-04-12,2021,4,Q2,Spring,CUST-05967,Female,Regular,Asia,Japan,Beauty & Health,Supplements,Collagen Peptides,34.23,2,0.1,61.61,31.26,30.35,49.26,13.49,Standard,11,Cash on Delivery,Delivered
ORD-000066,2023-03-01,2023,3,Q1,Spring,CUST-01273,Female,Regular,Europe,UK,Books & Media,Software,Microsoft Office 365,166.42,1,0.4,99.85,87.4,12.45,12.47,9.63,Standard,12,Credit Card,Delivered
ORD-000067,2022-02-27,2022,2,Q1,Winter,CUST-07755,Female,Regular,Middle East,Kuwait,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,38.71,1,0.0,38.71,26.55,12.16,31.41,91.52,Overnight,11,Bank Transfer,Delivered
ORD-000068,2024-06-22,2024,6,Q2,Summer,CUST-01114,Female,New,Asia,Singapore,Electronics,Tablets,iPad Pro 12.9,283.72,1,0.05,269.53,200.89,68.64,25.47,54.52,Overnight,22,Credit Card,Returned
ORD-000069,2023-05-30,2023,5,Q2,Spring,CUST-05997,Male,Regular,North America,Mexico,Home & Kitchen,Kitchen Tools,Cutting Board Set,93.92,3,0.5,140.88,206.27,-65.39,-46.42,34.14,Express,8,Bank Transfer,Returned
ORD-000070,2023-01-07,2023,1,Q1,Winter,CUST-02111,Female,VIP,Middle East,Jordan,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,30.75,8,0.0,246.0,180.53,65.47,26.61,6.46,Standard,15,Debit Card,Processing
ORD-000071,2024-07-29,2024,7,Q3,Summer,CUST-01268,Female,Regular,North America,Canada,Books & Media,Software,Photo Editing Suite,190.72,1,0.0,190.72,136.48,54.24,28.44,9.51,Economy,7,Apple Pay,Returned
ORD-000072,2023-05-12,2023,5,Q2,Spring,CUST-07947,Female,Regular,Middle East,UAE,Clothing,Women's Wear,Summer Dress,147.48,1,0.15,125.36,90.46,34.9,27.84,4.21,Economy,8,Bank Transfer,Delivered
ORD-000073,2022-10-14,2022,10,Q4,Fall,CUST-03691,Male,New,Europe,UK,Books & Media,Books,Atomic Habits,33.6,1,0.05,31.92,25.09,6.83,21.4,37.59,Express,8,Credit Card,Delivered
ORD-000074,2023-08-12,2023,8,Q3,Summer,CUST-05823,Female,Regular,North America,USA,Clothing,Men's Wear,Chino Pants,41.32,2,0.0,82.64,39.91,42.73,51.71,10.37,Standard,6,PayPal,Delivered
ORD-000075,2021-10-05,2021,10,Q4,Fall,CUST-06038,Male,New,Middle East,Kuwait,Electronics,Laptops,Lenovo ThinkPad X1,1599.56,1,0.0,1599.56,948.34,651.22,40.71,11.78,Standard,10,Debit Card,Returned
ORD-000076,2024-05-02,2024,5,Q2,Spring,CUST-05983,Male,Regular,Asia,South Korea,Electronics,Smartphones,OnePlus 11,1062.57,1,0.2,850.06,696.86,153.2,18.02,18.49,Standard,20,PayPal,Delivered
ORD-000077,2022-04-10,2022,4,Q2,Spring,CUST-04523,Female,Regular,Asia,India,Books & Media,Software,VPN Premium 1Y,248.76,2,0.3,348.26,267.9,80.36,23.07,17.79,Standard,16,Apple Pay,Delivered
ORD-000078,2024-09-26,2024,9,Q3,Fall,CUST-01549,Male,Regular,Middle East,Egypt,Beauty & Health,Supplements,Multivitamin Pack,62.42,1,0.15,53.06,36.08,16.98,32.0,40.6,Express,14,Credit Card,Delivered
ORD-000079,2023-09-29,2023,9,Q3,Fall,CUST-07146,Female,Regular,Middle East,UAE,Electronics,Headphones,AirPods Pro,224.73,4,0.4,539.35,662.49,-123.14,-22.83,4.83,Economy,17,Debit Card,Cancelled
ORD-000080,2022-08-19,2022,8,Q3,Summer,CUST-01941,Female,New,Asia,China,Home & Kitchen,Furniture,Office Chair,380.52,3,0.05,1084.48,566.69,517.79,47.75,10.25,Standard,21,PayPal,Delivered
ORD-000081,2023-01-11,2023,1,Q1,Winter,CUST-02173,Female,Regular,Middle East,Egypt,Books & Media,Books,Thinking Fast and Slow,37.87,3,0.1,102.25,52.11,50.14,49.04,67.55,Overnight,9,PayPal,Processing
ORD-000082,2023-08-31,2023,8,Q3,Summer,CUST-05884,Male,Regular,Europe,France,Electronics,Smartphones,Google Pixel 7,493.62,2,0.2,789.79,578.62,211.17,26.74,86.08,Overnight,14,PayPal,Delivered
ORD-000083,2022-01-03,2022,1,Q1,Winter,CUST-03827,Female,Regular,Asia,South Korea,Books & Media,Books,Atomic Habits,18.16,5,0.5,45.4,52.41,-7.01,-15.44,60.78,Overnight,13,Debit Card,Processing
ORD-000084,2022-11-23,2022,11,Q4,Fall,CUST-07286,Male,Regular,North America,USA,Books & Media,Software,Photo Editing Suite,173.44,1,0.0,173.44,89.52,83.92,48.39,29.04,Express,6,Debit Card,Delivered
ORD-000085,2021-09-04,2021,9,Q3,Fall,CUST-04573,Male,VIP,Europe,Spain,Electronics,Smartphones,OnePlus 11,972.31,2,0.0,1944.62,950.44,994.18,51.12,53.6,Overnight,5,Credit Card,Delivered
ORD-000086,2023-10-03,2023,10,Q4,Fall,CUST-07564,Female,Premium,North America,Canada,Books & Media,Software,Photo Editing Suite,113.02,1,0.5,56.51,65.02,-8.51,-15.06,19.49,Standard,5,Credit Card,Delivered
ORD-000087,2023-05-25,2023,5,Q2,Spring,CUST-01625,Male,New,Middle East,Egypt,Electronics,Laptops,Lenovo ThinkPad X1,1718.86,1,0.3,1203.2,814.04,389.16,32.34,29.99,Express,9,Google Pay,Delivered
ORD-000088,2023-09-09,2023,9,Q3,Fall,CUST-02451,Female,VIP,Europe,Spain,Home & Kitchen,Furniture,Bookshelf 5-Tier,202.86,1,0.0,202.86,106.86,96.0,47.32,42.81,Express,6,Cash on Delivery,Cancelled
ORD-000089,2023-10-13,2023,10,Q4,Fall,CUST-06172,Female,Regular,Middle East,Saudi Arabia,Books & Media,Software,Photo Editing Suite,167.89,2,0.4,201.47,183.66,17.81,8.84,2.55,Economy,14,Google Pay,Delivered
ORD-000090,2024-06-12,2024,6,Q2,Summer,CUST-06038,Female,VIP,Middle East,Egypt,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,56.91,1,0.25,42.68,26.25,16.43,38.5,14.67,Standard,8,Google Pay,Returned
ORD-000091,2022-12-15,2022,12,Q4,Winter,CUST-06851,Male,New,Europe,UK,Electronics,Tablets,Huawei MatePad 11,769.25,1,0.15,653.86,485.78,168.08,25.71,2.83,Economy,10,Bank Transfer,Delivered
ORD-000092,2024-05-25,2024,5,Q2,Spring,CUST-04348,Female,New,Europe,France,Electronics,Laptops,Lenovo ThinkPad X1,2482.87,5,0.3,8690.04,7533.33,1156.71,13.31,95.9,Overnight,11,Credit Card,Processing
ORD-000093,2022-09-13,2022,9,Q3,Fall,CUST-06436,Male,Premium,Middle East,Kuwait,Home & Kitchen,Appliances,Blender Pro,55.52,3,0.5,83.28,94.27,-10.99,-13.2,30.0,Express,16,Debit Card,Processing
ORD-000094,2024-01-24,2024,1,Q1,Winter,CUST-06292,Female,New,Asia,Japan,Beauty & Health,Skincare,Hyaluronic Acid,66.71,2,0.0,133.42,72.43,60.99,45.71,40.1,Express,12,Debit Card,Delivered
ORD-000095,2023-06-08,2023,6,Q2,Summer,CUST-01632,Female,Regular,Asia,China,Home & Kitchen,Furniture,Bookshelf 5-Tier,574.61,1,0.15,488.42,421.94,66.48,13.61,50.0,Express,14,Google Pay,Returned
ORD-000096,2022-01-08,2022,1,Q1,Winter,CUST-06907,Female,Regular,Asia,China,Books & Media,Books,Deep Work,36.29,6,0.4,130.64,106.54,24.1,18.45,25.43,Express,15,Apple Pay,Delivered
ORD-000097,2024-04-22,2024,4,Q2,Spring,CUST-04013,Female,VIP,Europe,France,Clothing,Women's Wear,Yoga Pants,55.61,3,0.25,125.12,86.79,38.33,30.63,9.23,Economy,8,Cash on Delivery,Delivered
ORD-000098,2022-12-13,2022,12,Q4,Winter,CUST-01840,Male,Regular,Middle East,UAE,Beauty & Health,Supplements,Vitamin D3,68.1,1,0.4,40.86,33.47,7.39,18.09,8.99,Economy,15,Credit Card,Delivered
ORD-000099,2023-11-08,2023,11,Q4,Fall,CUST-01436,Female,New,Europe,Italy,Home & Kitchen,Furniture,Study Desk,156.62,6,0.2,751.78,448.73,303.05,40.31,96.52,Overnight,11,Debit Card,Delivered
ORD-000100,2024-04-06,2024,4,Q2,Spring,CUST-06702,Male,VIP,Middle East,Saudi Arabia,Beauty & Health,Skincare,Sunscreen SPF50,27.96,4,0.15,95.06,81.56,13.5,14.2,21.15,Express,14,Apple Pay,Cancelled
ORD-000101,2023-09-06,2023,9,Q3,Fall,CUST-01391,Male,Premium,Asia,India,Electronics,Smartphones,iPhone 14,530.33,1,0.0,530.33,325.96,204.37,38.54,61.88,Overnight,13,Bank Transfer,Cancelled
ORD-000102,2022-05-07,2022,5,Q2,Spring,CUST-04516,Male,New,North America,Mexico,Beauty & Health,Skincare,Vitamin C Serum,76.94,6,0.25,346.23,290.38,55.85,16.13,41.56,Express,7,Debit Card,Delivered
ORD-000103,2023-08-10,2023,8,Q3,Summer,CUST-01356,Female,Premium,Middle East,UAE,Books & Media,Software,Microsoft Office 365,172.81,1,0.0,172.81,104.9,67.91,39.3,10.86,Standard,14,Debit Card,Delivered
ORD-000104,2022-01-25,2022,1,Q1,Winter,CUST-07664,Male,VIP,Middle East,Saudi Arabia,Home & Kitchen,Appliances,Blender Pro,95.1,3,0.5,142.65,182.16,-39.51,-27.7,10.28,Standard,12,Bank Transfer,Returned
ORD-000105,2021-03-28,2021,3,Q1,Spring,CUST-03540,Female,New,Europe,UK,Clothing,Men's Wear,Classic T-Shirt,90.18,1,0.25,67.64,41.58,26.06,38.53,46.57,Express,10,Apple Pay,Delivered
ORD-000106,2023-06-24,2023,6,Q2,Summer,CUST-04276,Female,Premium,Middle East,Egypt,Electronics,Laptops,HP Spectre x360,1278.25,3,0.0,3834.75,2721.67,1113.08,29.03,16.99,Standard,13,Debit Card,Delivered
ORD-000107,2023-09-14,2023,9,Q3,Fall,CUST-05468,Female,Premium,North America,Mexico,Beauty & Health,Supplements,Omega-3 Fish Oil,75.08,1,0.3,52.56,39.79,12.77,24.3,2.63,Economy,5,Credit Card,Delivered
ORD-000108,2023-10-28,2023,10,Q4,Fall,CUST-06036,Female,Regular,Europe,Italy,Home & Kitchen,Kitchen Tools,Cutting Board Set,56.38,1,0.4,33.83,37.51,-3.68,-10.88,72.36,Overnight,10,Bank Transfer,Delivered
ORD-000109,2022-11-28,2022,11,Q4,Fall,CUST-02933,Female,Premium,North America,USA,Electronics,Tablets,Lenovo Tab P12,637.43,3,0.5,956.14,952.31,3.83,0.4,2.28,Economy,4,Apple Pay,Cancelled
ORD-000110,2023-09-12,2023,9,Q3,Fall,CUST-03575,Female,Regular,North America,Mexico,Electronics,Laptops,Lenovo ThinkPad X1,2402.76,5,0.15,10211.73,7006.23,3205.5,31.39,35.88,Express,9,Credit Card,Delivered
ORD-000111,2023-09-18,2023,9,Q3,Fall,CUST-06685,Female,Regular,Middle East,Jordan,Clothing,Women's Wear,Yoga Pants,69.08,2,0.3,96.71,67.05,29.66,30.67,49.89,Express,11,Credit Card,Delivered
ORD-000112,2022-01-09,2022,1,Q1,Winter,CUST-03457,Male,Regular,Middle East,Egypt,Electronics,Tablets,Samsung Galaxy Tab S9,1003.75,2,0.25,1505.62,1503.98,1.64,0.11,13.25,Standard,11,Cash on Delivery,Delivered
ORD-000113,2022-09-22,2022,9,Q3,Fall,CUST-04828,Male,New,Asia,India,Books & Media,Books,Atomic Habits,39.55,1,0.0,39.55,20.61,18.94,47.89,77.7,Overnight,21,Credit Card,Delivered
ORD-000114,2024-08-21,2024,8,Q3,Summer,CUST-04816,Female,Regular,North America,USA,Home & Kitchen,Furniture,TV Stand,353.36,2,0.2,565.38,492.59,72.79,12.87,82.12,Overnight,10,Cash on Delivery,Returned
ORD-000115,2024-04-12,2024,4,Q2,Spring,CUST-03834,Female,Regular,Europe,France,Books & Media,Books,The Psychology of Money,22.98,3,0.0,68.94,48.22,20.72,30.06,24.86,Express,8,Debit Card,Delivered
ORD-000116,2024-01-03,2024,1,Q1,Winter,CUST-06903,Female,New,Europe,Spain,Books & Media,Software,Microsoft Office 365,163.76,2,0.4,196.51,199.8,-3.29,-1.67,25.14,Express,14,Credit Card,Delivered
